timestep_time,vehicle_angle,vehicle_id,vehicle_x,vehicle_y
28,77.98,veh10,2326.06,641.75
28,355.27,veh11,992.32,731.53
28,277.55,veh12,2619.83,486.36
28,329.06,veh13,1499.22,895.03
28,104.85,veh2,2314.78,491.66
28,355.74,veh3,1378.69,650.22
28,85.48,veh4,766.64,846.94
28,79.78,veh5,245.57,1209
28,47.26,veh6,631.68,1217.89
28,327.83,veh7,2607.41,613.38
28,79.78,veh8,217.9,1204.01
28,92.93,veh9,2268.54,1387.91
29,6.23,bus0,2531.42,1028.72
29,174.25,bus1,666.57,1420.66
29,333.6,bus2,528.98,1376.1
29,2.96,bus3,943.76,1246.97
29,218.07,veh0,2114.99,653.43
29,114.44,veh1,1305.31,1413.26
29,93.29,veh10,2332.39,641.77
29,355.27,veh11,991.62,739.93
29,275.14,veh12,2606.17,487.61
29,329.06,veh13,1497.07,898.62
29,355.63,veh14,1186.17,444.69
29,104.85,veh2,2314.79,491.66
29,356.06,veh3,1378.05,659.17
29,85.48,veh4,774.29,847.54
29,79.78,veh5,251.97,1210.15
29,47.26,veh6,637.12,1222.92
29,327.83,veh7,2603.97,618.85
29,79.78,veh8,225.52,1205.38
29,92.93,veh9,2279.74,1387.34
30,324.78,bus0,2526.26,1031.87
30,174.25,bus1,667.18,1414.61
30,335.47,bus2,526.82,1381.33
30,2.96,bus3,944.04,1252.5
30,218.07,veh0,2114.99,653.43
30,114.44,veh1,1312.2,1410.13
30,155.71,veh10,2336.15,636.46
30,355.27,veh11,990.99,747.62
30,275.14,veh12,2592.47,488.84
30,306.7,veh13,1494.13,900.24
30,355.63,veh14,1185.55,452.85
30,104.85,veh2,2314.8,491.66
30,355.98,veh3,1377.51,666.95
30,85.48,veh4,781.96,848.15
30,79.78,veh5,258.62,1211.35
30,47.26,veh6,642.78,1228.15
30,327.83,veh7,2600.32,624.64
30,79.78,veh8,232.13,1206.58
30,98.22,veh9,2286.35,1386.54
31,284.97,bus0,2519.12,1032.46
31,174.25,bus1,667.89,1407.6
31,5.59,bus2,530.17,1385.38
31,2.96,bus3,944.37,1258.76
31,141.36,bus4,2033.44,716.23
31,218.07,veh0,2114.99,653.43
31,114.44,veh1,1319.01,1407.04
31,179.8,veh10,2336.19,630.18
31,355.27,veh11,990.29,756.06
31,270.35,veh12,2578.87,488.94
31,204.41,veh13,1494.24,897.12
31,355.63,veh14,1184.94,460.83
31,104.85,veh2,2314.8,491.66
31,345.55,veh3,1376,675.55
31,84.78,veh4,789.66,848.82
31,79.78,veh5,265.43,1212.58
31,47.19,veh6,649.89,1234.74
31,327.83,veh7,2597.06,629.83
31,79.78,veh8,239.78,1207.96
31,108.3,veh9,2292.24,1384.81
32,248.19,bus0,2513.48,1028.22
32,174.27,bus1,668.67,1399.76
32,57.95,bus2,536,1386.88
32,2.96,bus3,944.75,1266.21
32,141.36,bus4,2033.84,715.72
32,221,veh0,2113.59,652.06
32,114.44,veh1,1325.42,1404.12
32,181.86,veh10,2335.93,622.19
32,355.27,veh11,989.58,764.57
32,270.35,veh12,2564.34,489.03
32,149.06,veh13,1496.7,893.01
32,355.54,veh14,1184.33,468.67
32,93.45,veh2,2317.25,491.98
32,336.28,veh3,1372.55,683.4
32,84.76,veh4,797.6,849.55
32,79.78,veh5,271.72,1213.71
32,47.11,veh6,657.74,1242.02
32,327.83,veh7,2593.63,635.28
32,79.78,veh8,247.18,1209.29
32,155.38,veh9,2295.45,1379.88
33,216.98,bus0,2508.14,1021.21
33,174.54,bus1,669.5,1390.97
33,76.43,bus2,542.46,1388.44
33,2.96,bus3,945.17,1274.35
33,141.36,bus4,2034.75,714.59
33,233.6,veh0,2110.26,649.61
33,114.44,veh1,1332.44,1400.93
33,181.86,veh10,2335.65,613.52
33,355.27,veh11,988.88,773.03
33,271.86,veh12,2550.09,489.27
33,149.06,veh13,1499.85,887.76
33,355.21,veh14,1183.65,476.88
33,18.61,veh2,2316.54,494.5
33,336.28,veh3,1369.2,691.04
33,84.76,veh4,805.4,850.26
33,79.78,veh5,277.27,1214.71
33,47.11,veh6,666.61,1250.26
33,327.83,veh7,2590,641.05
33,79.78,veh8,254.71,1210.65
33,211.25,veh9,2292.73,1374.11
34,219.03,bus0,2502.21,1013.89
34,174.62,bus1,670.44,1381.01
34,76.44,bus2,550.04,1390.27
34,2.96,bus3,945.57,1282.09
34,141.36,bus4,2036.19,712.78
34,268.3,veh0,2105.01,649.16
34,114.44,veh1,1338.49,1398.18
34,182.67,veh10,2335.32,605.59
34,355.27,veh11,988.21,781.19
34,266.08,veh12,2535.89,488.32
34,147.97,veh13,1503.84,881.34
34,355.21,veh14,1183,484.7
34,79.43,veh16,510.86,955.76
34,286.8,veh2,2312.05,495.69
34,336.26,veh3,1367,696.04
34,84.76,veh4,812.77,850.94
34,79.78,veh5,283.66,1215.87
34,47.11,veh6,673.6,1256.75
34,327.83,veh7,2586.64,646.39
34,79.78,veh8,261.61,1211.89
34,220.81,veh9,2288.51,1368.9
35,219.29,bus0,2498.76,1009.73
35,174.62,bus1,671.44,1370.39
35,76.45,bus2,558.47,1392.3
35,3.52,bus3,945.93,1286.76
35,141.36,bus4,2038.04,710.47
35,303.18,veh0,2098,652.67
35,114.44,veh1,1345.23,1395.12
35,183.62,veh10,2334.81,596.61
35,355.27,veh11,987.57,788.96
35,266.14,veh12,2522.64,487.41
35,147.46,veh13,1507.29,875.93
35,355.21,veh14,1182.32,492.84
35,83.06,veh16,512.88,955.93
35,284.95,veh2,2305.58,497.42
35,12.59,veh3,1367.77,701.02
35,84.76,veh4,820.07,851.61
35,79.78,veh5,290.38,1217.08
35,47.11,veh6,678.01,1260.86
