timestep_time,vehicle_angle,vehicle_id,vehicle_x,vehicle_y
29,331.4,veh7,587.88,707.86
29,142.98,veh8,804.49,1187.87
29,341.01,veh9,1808.09,495.57
30,12.38,veh0,1181.27,518.19
30,304.83,veh1,2148.68,1830.36
30,341.04,veh10,1817.56,468.03
30,145.99,veh11,359.28,859.72
30,341.04,veh13,1824.67,447.34
30,175.34,veh14,1616.24,1615.5
30,266.41,veh15,733.84,1439.63
30,341.04,veh16,1837.54,409.88
30,188.78,veh17,599.61,1774.78
30,103.92,veh18,308.62,1466.75
30,235.25,veh19,2293.12,1738.79
30,124.83,veh2,2150.08,1825.49
30,262.11,veh21,1599.55,954.57
30,292.79,veh22,1359.09,284.44
30,228.72,veh3,2493.44,1359.66
30,214.11,veh4,2429.44,1385.38
30,51.4,veh5,604.06,1448.64
30,331.4,veh7,587.88,707.86
30,143.18,veh8,811.37,1178.72
30,341.01,veh9,1803.95,507.59
31,12.38,veh0,1184.27,531.89
31,304.83,veh1,2142.46,1834.69
31,341.03,veh10,1813.94,478.57
31,137.69,veh11,368.2,848.34
31,341.04,veh13,1820.81,458.59
31,175.34,veh14,1616.85,1608.07
31,266.41,veh15,725.05,1439.08
31,341.04,veh16,1833.14,422.69
31,188.78,veh17,597.72,1762.57
31,103.92,veh18,314.6,1465.27
31,240.97,veh19,2287.41,1735.02
31,124.83,veh2,2156.64,1820.92
31,262.11,veh21,1596.18,954.1
31,292.79,veh22,1344.76,290.46
31,266.41,veh23,821.44,1445.13
31,228.72,veh3,2487.61,1354.54
31,214.11,veh4,2426.88,1381.6
31,57.46,veh5,608.64,1451.61
31,331.4,veh7,587.88,707.86
31,143.45,veh8,817.97,1169.82
31,340.97,veh9,1799.98,519.13
32,12.45,veh0,1187.3,545.62
32,304.83,veh1,2136.55,1838.8
32,341.01,veh10,1810.15,489.6
32,137.01,veh11,378.05,837.5
32,341.04,veh13,1817.2,469.07
32,175.34,veh14,1617.46,1600.54
32,266.42,veh15,716.09,1438.52
32,341.04,veh16,1828.88,435.09
32,188.78,veh17,595.91,1750.83
32,103.92,veh18,320.89,1463.71
32,240.17,veh19,2279.9,1731.2
32,124.83,veh2,2163.15,1816.39
32,239.87,veh21,1594.23,952.13
32,293.46,veh22,1330.77,296.51
32,266.41,veh23,813.39,1444.62
32,224.72,veh24,2340.08,1777.06
32,228.72,veh3,2481.56,1349.23
32,231.7,veh4,2422.62,1377.94
32,112.72,veh5,611.77,1449.75
32,331.4,veh7,587.88,707.86
32,143.76,veh8,824.54,1160.86
32,339.51,veh9,1795.45,531.26
33,12.45,veh0,1190.13,558.44
33,305.08,veh1,2131.09,1842.63
33,341.01,veh10,1806.55,500.06
33,134.03,veh11,388.45,826.84
33,341.02,veh13,1813.29,480.45
33,175.34,veh14,1618.17,1591.9
33,266.55,veh15,707.37,1437.98
33,341.04,veh16,1824.75,447.1
33,188.78,veh17,594.13,1739.31
33,103.92,veh18,326.9,1462.22
33,240.17,veh19,2271.42,1726.33
33,124.83,veh2,2169.65,1811.87
33,157.82,veh21,1596.55,950.92
33,293.46,veh22,1317.17,302.42
33,266.41,veh23,805.47,1444.13
33,224.72,veh24,2330.99,1767.88
33,228.72,veh3,2476.71,1344.98
33,295.97,veh4,2416.95,1380.17
33,145.69,veh5,618,1446.31
33,331.4,veh7,587.88,707.86
33,143.79,veh8,831.53,1151.32
33,341.34,veh9,1791.15,543.23
34,46.05,veh0,1195.93,567.26
34,305.36,veh1,2124.82,1847.07
34,341.01,veh10,1803.07,510.18
34,136.66,veh11,399.28,817.38
34,341.01,veh13,1809.77,490.7
34,175.34,veh14,1618.86,1583.38
34,266.57,veh15,698.95,1437.48
34,341.04,veh16,1820.52,459.42
34,188.78,veh17,592.29,1727.38
34,103.92,veh18,332.49,1460.83
34,222.24,veh19,2266.13,1721.31
34,124.31,veh2,2176.19,1807.38
34,82.11,veh21,1601.04,951.54
34,293.46,veh22,1302.49,308.79
34,266.41,veh23,797.89,1443.65
34,230.95,veh24,2320.84,1758.41
34,228.72,veh3,2473.77,1342.39
34,304.29,veh4,2410.07,1384.85
34,145.69,veh5,622.44,1439.8
